Long,Lat,Date,Cases
117.2264,31.8257,1/22/20,1
116.4142,40.1824,1/22/20,14
107.874,30.0572,1/22/20,6
117.9874,26.0789,1/22/20,1
103.8343,36.0611,1/22/20,0
113.4244,23.3417,1/22/20,26
108.7881,23.8298,1/22/20,2
106.8748,26.8154,1/22/20,1
109.7453,19.1959,1/22/20,4
114.5149,38.0428,1/22/20,1
127.7615,47.861999999999995,1/22/20,0
113.61399999999999,33.882020000000004,1/22/20,5
112.2707,30.9756,1/22/20,444
111.7088,27.6104,1/22/20,4
113.9448,44.0935,1/22/20,0
119.455,32.9711,1/22/20,1
115.7221,27.614,1/22/20,2
126.1923,43.6661,1/22/20,0
122.6085,41.2956,1/22/20,2
106.1655,37.2692,1/22/20,1
95.9956,35.7452,1/22/20,0
108.8701,35.1917,1/22/20,0
118.1498,36.3427,1/22/20,2
121.4491,31.201999999999998,1/22/20,9
112.2922,37.5777,1/22/20,1
102.7103,30.6171,1/22/20,5
117.323,39.3054,1/22/20,4
88.0924,31.6927,1/22/20,0
85.2401,41.1129,1/22/20,0
101.48700000000001,24.974,1/22/20,1
120.0934,29.1832,1/22/20,10
101.0,15.0,1/22/20,2
138.0,36.0,1/22/20,2
-122.3321,47.6062,1/22/20,1
-87.6976,41.7377,1/22/20,0
103.8333,1.2833,1/22/20,0
2.0,47.0,1/22/20,0
84.25,28.1667,1/22/20,0
112.5,2.5,1/22/20,0
-123.1207,49.2827,1/22/20,0
-118.2437,34.0522,1/22/20,0
151.2093,-33.8688,1/22/20,0
144.9631,-37.8136,1/22/20,0
153.4,-28.0167,1/22/20,0
104.9167,11.55,1/22/20,0
81.0,7.0,1/22/20,0
9.0,51.0,1/22/20,0
26.0,64.0,1/22/20,0
54.0,24.0,1/22/20,0
122.0,13.0,1/22/20,0
78.0,21.0,1/22/20,0
12.0,43.0,1/22/20,0
-3.0,55.0,1/22/20,0
16.0,63.0,1/22/20,0
-4.0,40.0,1/22/20,0
138.6007,-34.9285,1/22/20,0
-120.9876,36.5761,1/22/20,0
4.0,50.8333,1/22/20,0
139.638,35.4437,1/22/20,0
-117.1611,32.7157,1/22/20,0
30.0,26.0,1/22/20,0
139.638,35.4437,1/22/20,0
35.8623,33.8547,1/22/20,0
-123.8695,40.745,1/22/20,0
-121.3542,38.4747,1/22/20,0
44.0,33.0,1/22/20,0
57.0,21.0,1/22/20,0
65.0,33.0,1/22/20,0
50.55,26.0275,1/22/20,0
47.75,29.5,1/22/20,0
1.6596,28.0339,1/22/20,0
15.2,45.1,1/22/20,0
8.2275,46.8182,1/22/20,0
14.5501,47.5162,1/22/20,0
35.0,31.0,1/22/20,0
69.3451,30.3753,1/22/20,0
-51.9253,-14.235,1/22/20,0
43.3569,42.3154,1/22/20,0
21.8243,39.0742,1/22/20,0
21.7453,41.6086,1/22/20,0
8.4689,60.472,1/22/20,0
24.9668,45.9432,1/22/20,0
9.5018,56.2639,1/22/20,0
25.0136,58.5953,1/22/20,0
5.2913,52.1326,1/22/20,0
12.4578,43.9424,1/22/20,0
27.9534,53.7098,1/22/20,0
-19.0208,64.9631,1/22/20,0
23.8813,55.1694,1/22/20,0
-102.5528,23.6345,1/22/20,0
174.886,-40.9006,1/22/20,0
8.6753,9.082,1/22/20,0
115.8605,-31.9505,1/22/20,0
-7.6921,53.1424,1/22/20,0
6.1296,49.8153,1/22/20,0
7.4167,43.7333,1/22/20,0
51.1839,25.3548,1/22/20,0
-121.8339,48.033,1/22/20,0
-78.1834,-1.8312,1/22/20,0
47.5769,40.1431,1/22/20,0
15.472999999999999,49.8175,1/22/20,0
45.0382,40.0691,1/22/20,0
-70.1627,18.7357,1/22/20,0
113.9213,-0.7893,1/22/20,0
-8.2245,39.3999,1/22/20,0
1.5218,42.5063,1/22/20,0
145.9707,-41.4545,1/22/20,0
24.6032,56.8796,1/22/20,0
-7.0926,31.7917,1/22/20,0
45.0,24.0,1/22/20,0
-14.4524,14.4974,1/22/20,0
-71.82600000000001,43.9088,1/22/20,0
-82.3018,27.9904,1/22/20,0
-120.8039,39.0916,1/22/20,0
-122.3255,37.563,1/22/20,0
-122.9888,38.578,1/22/20,0
-118.7606,45.775,1/22/20,0
-84.3963,33.8034,1/22/20,0
-123.1386,45.547,1/22/20,0
-63.6167,-38.4161,1/22/20,0
-71.543,-35.6751,1/22/20,0
36.51,31.24,1/22/20,0
-71.1449,42.1767,1/22/20,0
-112.4291,33.2918,1/22/20,0
-78.5661,35.8032,1/22/20,0
-73.7949,41.122,1/22/20,0
31.1656,48.3794,1/22/20,0
-62.8333,17.9,1/22/20,0
-117.8531,33.7879,1/22/20,0
19.5033,47.1625,1/22/20,0
130.8456,-12.4634,1/22/20,0
-6.9118,61.8926,1/22/20,0
-5.3536,36.1408,1/22/20,0
9.55,47.14,1/22/20,0
19.1451,51.9194,1/22/20,0
9.0,34.0,1/22/20,0
-121.9018,37.8534,1/22/20,0
17.6791,43.9159,1/22/20,0
14.9955,46.1512,1/22/20,0
-74.077,40.9263,1/22/20,0
-95.3103,29.7752,1/22/20,0
-122.4194,37.7749,1/22/20,0
22.9375,-30.5595,1/22/20,0
-115.094,36.0796,1/22/20,0
-95.8143,29.5693,1/22/20,0
-119.3732,47.1981,1/22/20,0
-86.9824,30.769000000000002,1/22/20,0
-86.8622,35.9179,1/22/20,0
-74.006,40.7128,1/22/20,0
-77.2405,39.1547,1/22/20,0
-71.0589,42.3601,1/22/20,0
-104.9903,39.7392,1/22/20,0
-106.064,39.5912,1/22/20,0
90.4336,27.5142,1/22/20,0
11.5021,3.8480000000000003,1/22/20,0
-74.2973,4.5709,1/22/20,0
-83.7534,9.7489,1/22/20,0
-75.0152,-9.19,1/22/20,0
21.0059,44.0165,1/22/20,0
19.699,48.669,1/22/20,0
0.8248,8.6195,1/22/20,0
-79.1781,35.7211,1/22/20,0
-75.3879,39.9078,1/22/20,0
-96.1951,41.3148,1/22/20,0
-84.4803,38.0606,1/22/20,0
-86.1752,39.8362,1/22/20,0
-71.2874,42.4672,1/22/20,0
-73.5594,40.6546,1/22/20,0
-93.0616,44.9964,1/22/20,0
-119.6035,40.5608,1/22/20,0
-75.2479,41.6739,1/22/20,0
-121.9018,38.7646,1/22/20,0
-121.9552,37.3541,1/22/20,0
-53.1258,3.9339,1/22/20,0
14.3754,35.9375,1/22/20,0
-104.9389,39.2587,1/22/20,0
-71.4774,41.8882,1/22/20,0
-61.0242,14.6415,1/22/20,0
-121.7195,37.6017,1/22/20,0
-80.3659,26.1901,1/22/20,0
-81.9535,26.663,1/22/20,0
-111.2845,32.8162,1/22/20,0
-73.983,41.1489,1/22/20,0
-73.936,43.0324,1/22/20,0
-79.7848,32.7957,1/22/20,0
-122.5194,45.7466,1/22/20,0
-84.5641,33.8999,1/22/20,0
-112.0953,40.9629,1/22/20,0
-104.4723,38.9108,1/22/20,0
-157.8584,21.307,1/22/20,0
-122.7647,42.3345,1/22/20,0
-123.304,47.7425,1/22/20,0
-80.5883,34.3672,1/22/20,0
-121.6142,42.6953,1/22/20,0
-119.6963,37.2519,1/22/20,0
-122.1295,47.0676,1/22/20,0
-95.941,36.1593,1/22/20,0
25.4858,42.7339,1/22/20,0
73.2207,3.2028,1/22/20,0
-75.3879,40.229,1/22/20,0
90.3563,23.685,1/22/20,0
-77.2405,38.9085,1/22/20,0
-71.0498,42.9931,1/22/20,0
-77.0369,38.9072,1/22/20,0
-58.4438,-23.4425,1/22/20,0
-73.1822,42.3118,1/22/20,0
-86.822,36.1343,1/22/20,0
-123.2492,43.1261,1/22/20,0
-119.2321,36.9859,1/22/20,0
-76.3637,39.5839,1/22/20,0
-86.5401,39.8065,1/22/20,0
-74.0535,40.7453,1/22/20,0
-94.8521,38.8454,1/22/20,0
-120.9319,47.175,1/22/20,0
-82.3452,27.4799,1/22/20,0
-122.5927,44.8446,1/22/20,0
-86.6611,30.5773,1/22/20,0
-85.1479,34.0132,1/22/20,0
-117.3961,33.9533,1/22/20,0
-89.9253,35.1269,1/22/20,0
-90.4125,38.6103,1/22/20,0
-72.6151,40.9849,1/22/20,0
-74.3118,41.8586,1/22/20,0
-81.0755,29.028000000000002,1/22/20,0
-85.3232,51.2538,1/22/20,0
-116.5765,53.9333,1/22/20,0
-73.5491,52.9399,1/22/20,0
-91.5984,41.6699,1/22/20,0
20.1683,41.1533,1/22/20,0
33.4299,35.1264,1/22/20,0
-84.3542,38.4333,1/22/20,0
114.7277,4.5353,1/22/20,0
-73.135,43.0279,1/22/20,0
-93.7842,44.8254,1/22/20,0
-81.9098,26.8946,1/22/20,0
-84.4803,34.2515,1/22/20,0
-96.493,33.1795,1/22/20,0
-85.6435,38.1938,1/22/20,0
-90.1121,29.6499,1/22/20,0
-121.8474,40.7909,1/22/20,0
-81.9535,34.8606,1/22/20,0
