Long,Lat,Province/State,Country/Region
-157.8584,21.307,"Honolulu County, HI",US
-157.4983,21.0943,Hawaii,US
-152.4044,61.3707,Alaska,US
-123.8695,40.745,"Humboldt County, CA",US
-123.304,47.7425,"Jefferson County, WA",US
-123.2492,43.1261,"Douglas County, OR",US
-123.1386,45.547,"Washington County, OR",US
-123.1207,49.2827,British Columbia,Canada
-122.9888,38.578,"Sonoma County, CA",US
-122.7647,42.3345,"Jackson County, OR ",US
-122.6655,37.6489,Grand Princess,US
-122.6413,47.6477,"Kitsap, WA",US
-122.5927,44.8446,"Marion County, OR",US
-122.5194,45.7466,"Clark County, WA",US
-122.4194,37.7749,"San Francisco County, CA",US
-122.3321,47.6062,"King County, WA",US
-122.3255,37.563,"San Mateo, CA",US
-122.2654,38.5025,"Napa, CA",US
-122.1295,47.0676,"Pierce County, WA",US
-122.0709,44.571999999999996,Oregon,US
-121.958,37.0454,"Santa Cruz, CA",US
-121.9552,37.3541,"Santa Clara County, CA",US
-121.9018,114.92849999999999,,
-121.8474,40.7909,"Shasta County, CA",US
-121.8339,48.033,"Snohomish County, WA",US
-121.7195,37.6017,"Alameda County, CA",US
-121.6142,42.6953,"Klamath County, OR",US
-121.4905,47.4009,Washington,US
-121.3542,38.4747,"Sacramento County, CA",US
-120.9876,36.5761,"San Benito, CA",US
-120.9319,47.175,"Kittitas County, WA",US
-120.8039,39.0916,"Placer County, CA",US
-119.6963,37.2519,"Madera County, CA",US
-119.6816,36.1162,California,US
-119.6035,40.5608,"Washoe County, NV",US
-119.3732,47.1981,"Grant County, WA",US
-119.2321,36.9859,"Fresno County, CA",US
-119.1391,34.3705,"Ventura, CA",US
-118.7606,45.775,"Umatilla, OR",US
-118.2437,34.0522,"Los Angeles, CA",US
-117.8531,33.7879,"Orange County, CA",US
-117.3961,33.9533,"Riverside County, CA",US
-117.1611,32.7157,"San Diego County, CA",US
-117.0554,38.3135,Nevada,US
-116.5765,53.9333,Alberta,Canada
