,Long,Date,Cases
0,117.2264,1/22/20,0
1,116.4142,1/22/20,0
2,107.874,1/22/20,0
3,117.9874,1/22/20,0
4,103.8343,1/22/20,0
5,113.4244,1/22/20,0
6,108.7881,1/22/20,0
7,106.8748,1/22/20,0
8,109.7453,1/22/20,0
9,114.5149,1/22/20,0
10,127.7615,1/22/20,0
11,113.61399999999999,1/22/20,0
12,112.2707,1/22/20,28
13,111.7088,1/22/20,0
14,113.9448,1/22/20,0
15,119.455,1/22/20,0
16,115.7221,1/22/20,0
17,126.1923,1/22/20,0
18,122.6085,1/22/20,0
19,106.1655,1/22/20,0
20,95.9956,1/22/20,0
21,108.8701,1/22/20,0
22,118.1498,1/22/20,0
23,121.4491,1/22/20,0
24,112.2922,1/22/20,0
25,102.7103,1/22/20,0
26,117.323,1/22/20,0
27,88.0924,1/22/20,0
28,85.2401,1/22/20,0
29,101.48700000000001,1/22/20,0
30,120.0934,1/22/20,0
31,101.0,1/22/20,0
32,138.0,1/22/20,0
33,-122.3321,1/22/20,0
34,-87.6976,1/22/20,0
35,103.8333,1/22/20,0
36,2.0,1/22/20,0
37,84.25,1/22/20,0
38,112.5,1/22/20,0
39,-123.1207,1/22/20,0
40,-118.2437,1/22/20,0
41,151.2093,1/22/20,0
42,144.9631,1/22/20,0
43,153.4,1/22/20,0
44,104.9167,1/22/20,0
45,81.0,1/22/20,0
46,9.0,1/22/20,0
47,26.0,1/22/20,0
48,54.0,1/22/20,0
49,122.0,1/22/20,0
50,78.0,1/22/20,0
51,12.0,1/22/20,0
52,-3.0,1/22/20,0
53,16.0,1/22/20,0
54,-4.0,1/22/20,0
55,138.6007,1/22/20,0
56,-120.9876,1/22/20,0
57,4.0,1/22/20,0
58,139.638,1/22/20,0
59,-117.1611,1/22/20,0
60,30.0,1/22/20,0
61,139.638,1/22/20,0
62,35.8623,1/22/20,0
63,-123.8695,1/22/20,0
64,-121.3542,1/22/20,0
65,44.0,1/22/20,0
66,57.0,1/22/20,0
67,65.0,1/22/20,0
68,50.55,1/22/20,0
69,47.75,1/22/20,0
